car_id,city,brand,price,sale_date,owner_name,status
C1001,南京,奥迪,66.9,2024/3/13,孙颖,sold
C1002,上海,奥迪,40.4,2024/4/11,沈伟,sold
C1003,重庆,本田,27.4,2024/5/20,杨强,pending
C1004,广州,奔驰,66.8,2024/12/8,沈洋,sold
C1005,西安,特斯拉,37.4,2024/3/5,郭敏,sold
C1006,天津,特斯拉,42.7,2024/12/18,沈军,pending
C1007,上海,长城,18.9,2024/6/10,周宁,sold
C1008,郑州,蔚来,46.2,2024/1/31,王芳,pending
C1009,宁波,理想,47.4,2024/1/12,吴丽,sold
C1010,宁波,本田,22.9,2024/12/13,郑强,sold
C1011,天津,蔚来,41.3,2024/12/1,沈静,sold
C1012,杭州,丰田,26.1,2024/9/5,刘静,sold
C1013,北京,比亚迪,25.8,2024/5/22,陈超,sold
C1014,成都,蔚来,45.4,2024/6/19,陈洋,pending
C1015,沈阳,五菱,4.7,2024/7/27,周涛,sold
C1016,昆明,大众,24.2,2024/6/6,郑敏,pending
C1017,广州,小鹏,33,2024/4/8,周芳,sold
C1018,西安,理想,42.4,2024/11/3,周伟,sold
C1019,西安,理想,35.4,2024/9/21,杨强,sold
C1020,成都,小鹏,28.2,2024/11/6,郑敏,sold
C1021,沈阳,特斯拉,34.5,2024/7/5,杨杰,sold
C1022,南京,蔚来,45.3,2024/4/26,杨强,pending
C1023,西安,大众,18.2,2024/12/7,张伟,sold
C1024,南京,丰田,22.4,2024/8/1,赵洋,sold
C1025,昆明,奔驰,47.1,2024/10/13,赵杰,sold
C1026,天津,吉利,19.3,2024/10/15,杨洋,pending
C1027,沈阳,五菱,11.7,2024/6/15,沈军,pending
C1028,南京,蔚来,37.3,2024/9/20,沈超,sold
C1029,西安,丰田,14.6,2024/8/15,郭伟,sold
C1030,长沙,五菱,9.3,2024/9/26,周静,sold
C1031,北京,长安,10.9,2024/2/12,唐强,sold
C1032,武汉,长安,15.1,2024/11/6,郑静,sold
C1033,广州,小鹏,30.2,2024/4/22,沈伟,sold
C1034,西安,奥迪,32,2024/1/18,周丽,pending
C1035,武汉,大众,19.6,2024/10/16,杨超,sold
C1036,深圳,蔚来,46,2024/8/31,杨涛,pending
C1037,昆明,长安,14.5,2024/5/5,郭宁,pending
C1038,武汉,吉利,15.5,2024/2/22,沈颖,sold
C1039,昆明,长安,12.5,2024/10/14,唐宁,sold
C1040,南京,理想,42.9,2024/10/24,吴强,sold
C1041,西安,奥迪,60.8,2024/2/4,陈超,sold
C1042,苏州,本田,28,2024/7/18,王宁,sold
C1043,沈阳,奥迪,38.9,2024/7/24,张娜,sold
C1044,青岛,大众,22.5,2024/12/21,郭军,pending
C1045,宁波,本田,20.4,2024/1/11,杨静,sold
C1046,昆明,特斯拉,30.1,2024/6/17,郭娜,sold
C1047,深圳,小鹏,29.4,2024/9/8,杨丽,pending
C1048,上海,五菱,4.6,2024/10/5,吴伟,sold
C1049,成都,理想,41.9,2024/11/20,王静,sold
C1050,苏州,蔚来,33.7,2024/12/12,郑敏,sold
C1051,武汉,比亚迪,7.4,2024/11/3,赵涛,pending
C1052,上海,大众,21.1,2024/2/11,张颖,pending
C1053,沈阳,长安,16.9,2024/9/23,周军,pending
C1054,广州,长安,14.2,2024/6/8,郭颖,sold
C1055,杭州,理想,56.5,2024/3/12,张丽,pending
C1056,重庆,长城,14.9,2024/10/9,吴鹏,pending
C1057,北京,丰田,23.2,2024/5/3,杨伟,sold
C1058,沈阳,长安,8.7,2024/7/22,沈军,sold
